Geography,Geographic Area Name,"Employed population (16+ years, all)","Employed population (16+ years, female)",Workers who commute to work (total),Workers who commute to work (drive alone),Workers who commute to work (carpool),Workers who commute to work (public transit),Workers who commute to work (walk),Workers who commute to work (other),Workers who commute to work (work from home),Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars)
1400000US06037501504,"Census Tract 5015.04, Los Angeles County, California",2640,1499,1475,1210,144,53,7,0,61,30.2,37149,51140
1400000US06037501600,"Census Tract 5016, Los Angeles County, California",6025,2916,3427,2556,343,66,172,57,233,34,80246,99911
1400000US06037501700,"Census Tract 5017, Los Angeles County, California",2772,1456,1586,1464,50,0,5,0,67,34,83438,104891
1400000US06037501802,"Census Tract 5018.02, Los Angeles County, California",2554,1317,1480,1188,181,0,4,17,90,42,70329,81847
1400000US06037501803,"Census Tract 5018.03, Los Angeles County, California",3346,1592,2283,1588,179,191,42,167,116,30.2,41957,54971
1400000US06037501804,"Census Tract 5018.04, Los Angeles County, California",1633,912,883,711,96,15,9,20,32,32.6,48409,69597
1400000US06037501900,"Census Tract 5019, Los Angeles County, California",3462,1970,1986,1572,255,45,0,0,114,33.8,86103,104742
1400000US06037502003,"Census Tract 5020.03, Los Angeles County, California",2059,995,1359,1034,190,12,77,16,30,32.2,70855,77191
1400000US06037502004,"Census Tract 5020.04, Los Angeles County, California",3327,1640,1892,1530,302,0,6,14,40,30.7,80076,90227
1400000US06037502005,"Census Tract 5020.05, Los Angeles County, California",3577,1800,2104,1646,303,77,17,30,31,32.3,66194,91055
1400000US06037502100,"Census Tract 5021, Los Angeles County, California",4098,2266,1969,1693,56,22,45,0,153,29.7,59125,73646
1400000US06037502200,"Census Tract 5022, Los Angeles County, California",5949,2987,3415,2509,271,270,24,27,314,35.2,82188,95320
1400000US06037502303,"Census Tract 5023.03, Los Angeles County, California",6634,3430,3425,2854,362,46,62,55,46,29.6,62729,72118
1400000US06037502401,"Census Tract 5024.01, Los Angeles County, California",3781,2170,2259,1878,218,110,0,0,53,26.6,54847,70198
1400000US06037502402,"Census Tract 5024.02, Los Angeles County, California",3058,1533,1638,1407,120,6,0,27,78,29.2,81458,88525
1400000US06037502500,"Census Tract 5025, Los Angeles County, California",3545,1719,2186,1884,75,44,22,50,111,35.4,71250,87821
1400000US06037502602,"Census Tract 5026.02, Los Angeles County, California",3445,1868,1918,1563,144,9,16,86,100,31.4,56500,75624
1400000US06037502603,"Census Tract 5026.03, Los Angeles County, California",2756,1558,1593,1336,120,38,0,99,0,34,99625,109240
1400000US06037502604,"Census Tract 5026.04, Los Angeles County, California",3255,1701,2077,1844,162,7,43,5,16,33.3,100918,137751
1400000US06037502700,"Census Tract 5027, Los Angeles County, California",5600,3042,3342,2694,313,31,16,141,147,26.2,75208,86794
1400000US06037502801,"Census Tract 5028.01, Los Angeles County, California",4923,2520,2976,2425,315,29,43,14,150,34.4,85859,98366
1400000US06037502901,"Census Tract 5029.01, Los Angeles County, California",4951,2611,3081,2777,192,0,0,0,112,33.4,92101,92965
1400000US06037503000,"Census Tract 5030, Los Angeles County, California",4373,2044,2696,2180,364,18,77,29,28,38.1,76528,77735
1400000US06037503103,"Census Tract 5031.03, Los Angeles County, California",4124,1979,2288,1846,269,44,5,5,119,31.9,79958,92604
1400000US06037503104,"Census Tract 5031.04, Los Angeles County, California",1952,1010,1141,879,166,61,0,12,23,31.3,69643,66254
1400000US06037503105,"Census Tract 5031.05, Los Angeles County, California",2576,1215,1588,1273,240,13,8,32,22,28.8,70568,83754
1400000US06037503106,"Census Tract 5031.06, Los Angeles County, California",3191,1739,1830,1563,166,12,8,6,75,32.7,71098,84771
1400000US06037503201,"Census Tract 5032.01, Los Angeles County, California",3265,1639,1785,1535,61,36,6,14,133,33.4,97639,108747
1400000US06037503202,"Census Tract 5032.02, Los Angeles County, California",3645,1947,2245,1793,243,97,14,18,80,33.2,69635,89742
1400000US06037503301,"Census Tract 5033.01, Los Angeles County, California",2827,1557,1755,1495,204,0,6,5,45,33,113750,110883
